,,,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
,,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
tag,cfg,class,,,,,,,,,,,,,,
v4.0.0,Still,F1,-6.341260714285714,-22.55879285714286,-25.965307142857142,-8.158160714285714,-5.470889285714286,-6.602760714285714,-6.875349999999999,-6.553814285714286,-7.506178571428571,-10.834210714285714,-6.341260714285714,-22.55879285714286,-25.965307142857142,-7.227085714285714
v4.0.0,Still,F2,-7.943968965517241,-17.954993103448274,-21.78629655172414,-9.365913793103447,-7.294034482758621,-7.948886206896551,-7.009406896551724,-6.948693103448276,-8.564989655172415,-11.649544827586206,-7.943968965517241,-17.954993103448274,-21.78629655172414,-8.635924137931035
v7.0.0,AI,A1,-14.971662499999999,-31.326325,-31.329225,-17.066475,-12.2749125,-14.33005,-16.7803625,-16.3432125,-15.230325,-23.4245125,-14.9664,-31.3321625,-31.3157625,-17.4815625
v7.0.0,AI,A2,-13.848852631578946,-32.24166842105264,-34.531036842105266,-15.90518947368421,-12.085115789473685,-13.035757894736841,-14.996605263157894,-14.434747368421052,-13.709836842105263,-21.91931052631579,-13.845773684210528,-32.22203684210526,-34.516094736842106,-15.657984210526317
v7.0.0,AI,A3,-14.7651875,-34.3199875,-36.5177875,-16.8985625,-13.81395,-14.0771375,-15.7431,-15.5179625,-14.8152125,-22.100450000000002,-14.764787499999999,-34.3156625,-36.492399999999996,-16.2154125
v7.0.0,AI,A4,-12.712066666666667,-43.941833333333335,-45.16295,-15.819166666666666,-14.447466666666665,-12.815916666666666,-12.8759,-12.341766666666667,-13.24145,-23.464116666666666,-12.707866666666668,-43.959316666666666,-44.99556666666667,-14.644916666666667
v7.0.0,AI,A5,-10.90605,-33.278525,-26.369025,-12.866825,-12.064,-11.571025,-13.570875000000001,-13.431075,-12.355825,-19.5224,-10.900075000000001,-33.29505,-26.41975,-11.9341
v7.0.0,AI,B1,-17.89116,-36.917539999999995,-36.57333,-19.99655,-16.38758,-17.23744,-18.00326,-17.492169999999998,-18.05011,-27.5935,-17.871760000000002,-36.95643,-36.52471,-19.61438
v7.0.0,AI,B2,-27.4802,-44.4521,-45.68138888888889,-29.514933333333335,-30.05906666666667,-30.493100000000002,-26.839055555555557,-26.723244444444443,-30.4133,-38.92234444444445,-27.59122222222222,-44.60738888888889,-45.815200000000004,-29.727666666666664
v7.0.0,AI,E,-13.92759375,-30.82854375,-30.001618750000002,-16.2095,-12.2908625,-12.96960625,-17.60901875,-17.45715,-14.70529375,-19.60984375,-13.7704625,-30.8603125,-29.92565625,-14.91268125
v7.0.0,AI,G1,-16.871875,-43.072900000000004,-52.922174999999996,-20.630924999999998,-12.573525,-15.127525,-18.94575,-18.512575,-16.384050000000002,-31.86655,-16.873375,-43.1914,-52.956375,-19.71175
v7.0.0,AI,G2,-18.064057142857145,-45.85364285714286,-48.29275714285715,-21.485985714285714,-16.094285714285714,-16.892242857142858,-19.189400000000003,-18.6847,-17.989857142857144,-30.74177142857143,-18.0979,-45.85021428571429,-48.256228571428565,-20.0069
v7.0.0,AS,A1,-25.4281875,-36.4915375,-36.2913875,-26.72065,-21.349825,-24.0248625,-30.591075,-29.7040625,-24.383074999999998,-30.7619125,-25.3700625,-36.5066625,-36.4171625,-26.7601375
v7.0.0,LD,A2,-16.252384210526316,-35.84964210526316,-36.63602631578948,-18.212984210526315,-15.148347368421053,-15.536505263157895,-19.15663684210526,-18.463694736842104,-15.746952631578946,-23.851515789473684,-16.43854736842105,-36.16295789473684,-36.79772105263158,-17.851152631578948
v7.0.0,LD,A3,-17.40485,-36.2693375,-35.608450000000005,-19.3503875,-16.072275,-16.248775,-18.2801875,-17.869825,-16.833525,-24.2458375,-17.4675375,-36.3520125,-35.4837875,-18.5522625
v7.0.0,LD,A4,-18.479366666666667,-43.177699999999994,-44.11351666666667,-20.949633333333335,-19.246216666666665,-18.030966666666668,-17.532799999999998,-18.16855,-18.40695,-26.172700000000003,-18.754266666666666,-43.65973333333333,-43.77436666666667,-20.231733333333334
v7.0.0,LD,A5,-14.837074999999999,-36.512875,-25.90425,-16.378275,-14.6094,-14.8017,-19.33305,-18.549525,-15.715149999999998,-19.88795,-15.172474999999999,-37.034825,-26.433475,-15.91245
v7.0.0,LD,B1,-16.4987,-40.83368,-36.37445,-18.92323,-17.21656,-17.32536,-18.5327,-18.04685,-17.33795,-27.43204,-16.19188,-41.67936,-35.48338,-18.12252
v7.0.0,LD,B2,-34.58672222222222,-46.21563333333333,-46.68853333333333,-35.94036666666667,-35.94072222222222,-36.046822222222225,-38.000411111111106,-36.772688888888894,-36.04578888888889,-41.703244444444444,-34.737255555555556,-45.32121111111111,-46.133966666666666,-36.3966
v7.0.0,RA,A1,-25.11985,-38.682075,-39.064925,-26.753375,-22.6566875,-24.4601875,-30.7501875,-29.4224625,-24.391275,-31.7409,-25.127975,-38.732875,-39.1836625,-26.87455
v7.0.0,RA,A2,-22.421247368421053,-39.01405263157895,-39.75175789473684,-24.065931578947367,-21.03386842105263,-21.920663157894737,-27.728726315789476,-26.584257894736844,-21.411821052631577,-29.07022105263158,-22.5843,-39.17052631578947,-39.836215789473684,-23.725952631578945
v7.0.0,RA,A3,-24.655175,-42.9933875,-42.151650000000004,-26.652874999999998,-23.6796625,-24.111787500000002,-28.4684125,-27.391475,-24.0086625,-31.2033,-24.66085,-43.04815,-41.9882875,-25.666775
v7.0.0,RA,A4,-22.962733333333333,-44.890683333333335,-45.05811666666667,-25.119733333333333,-23.269133333333333,-22.718166666666665,-26.899666666666665,-26.344183333333334,-22.8681,-30.15155,-23.13123333333333,-45.11058333333333,-44.762683333333335,-24.35455
v7.0.0,RA,A5,-21.994075,-37.8729,-31.423225,-23.25235,-21.943075,-22.497125,-27.304949999999998,-26.894174999999997,-22.76875,-26.61235,-22.356125,-38.128475,-31.704625,-22.909475
v7.0.0,RA,B1,-21.41988,-40.19841,-37.387389999999996,-23.34471,-22.47849,-22.78014,-26.32045,-25.32226,-21.881279999999997,-30.45967,-21.21162,-40.71499,-36.39998,-22.542009999999998
